2022-11-07T00:34:28.9405755 404 : [{"timestamp":"2022-11-07T06:34:28.939+00:00","status":404,"error":"Not Found","message":"User Not Found","path":"/user/0"}]
2022-11-07T00:34:28.9481138 401 : [{"timestamp":"2022-11-07T06:34:28.946+00:00","status":401,"error":"Unauthorized","message":"Full authentication is required to access this resource","path":"/account/2003"}]
2022-11-07T00:34:28.9552266 404 : [{"timestamp":"2022-11-07T06:34:28.954+00:00","status":404,"error":"Not Found","message":"User Not Found","path":"/user/0"}]
2022-11-07T00:34:28.9612078 401 : [{"timestamp":"2022-11-07T06:34:28.960+00:00","status":401,"error":"Unauthorized","message":"Full authentication is required to access this resource","path":"/account/2002"}]
2022-11-07T00:34:28.9711665 404 : [{"timestamp":"2022-11-07T06:34:28.968+00:00","status":404,"error":"Not Found","message":"User Not Found","path":"/user/0"}]
2022-11-07T00:37:03.6115909 401 : [{"timestamp":"2022-11-07T06:37:03.597+00:00","status":401,"error":"Unauthorized","message":"Full authentication is required to access this resource","path":"/account/2002"}]
2022-11-07T00:37:03.6241253 404 : [{"timestamp":"2022-11-07T06:37:03.622+00:00","status":404,"error":"Not Found","message":"User Not Found","path":"/user/0"}]
2022-11-07T00:37:03.6380254 401 : [{"timestamp":"2022-11-07T06:37:03.636+00:00","status":401,"error":"Unauthorized","message":"Full authentication is required to access this resource","path":"/account/2002"}]
2022-11-07T00:37:03.6457152 404 : [{"timestamp":"2022-11-07T06:37:03.644+00:00","status":404,"error":"Not Found","message":"User Not Found","path":"/user/0"}]
2022-11-07T00:37:03.6527286 401 : [{"timestamp":"2022-11-07T06:37:03.651+00:00","status":401,"error":"Unauthorized","message":"Full authentication is required to access this resource","path":"/account/2002"}]
2022-11-07T00:37:03.6583634 404 : [{"timestamp":"2022-11-07T06:37:03.657+00:00","status":404,"error":"Not Found","message":"User Not Found","path":"/user/0"}]
2022-11-07T00:37:03.6640816 401 : [{"timestamp":"2022-11-07T06:37:03.662+00:00","status":401,"error":"Unauthorized","message":"Full authentication is required to access this resource","path":"/account/2003"}]
2022-11-07T00:37:03.66929 404 : [{"timestamp":"2022-11-07T06:37:03.668+00:00","status":404,"error":"Not Found","message":"User Not Found","path":"/user/0"}]
2022-11-07T00:37:03.6743403 401 : [{"timestamp":"2022-11-07T06:37:03.674+00:00","status":401,"error":"Unauthorized","message":"Full authentication is required to access this resource","path":"/account/2002"}]
2022-11-07T00:37:03.6813401 404 : [{"timestamp":"2022-11-07T06:37:03.680+00:00","status":404,"error":"Not Found","message":"User Not Found","path":"/user/0"}]
2022-11-07T01:05:19.8728472 500 : [{"timestamp":"2022-11-07T07:05:19.856+00:00","status":500,"error":"Internal Server Error","message":"PreparedStatementCallback; SQL [UPDATE account SET balance = ? WHERE user_id = ?]; No value specified for parameter 2.; nested exception is org.postgresql.util.PSQLException: No value specified for parameter 2.","path":"/account/1001"}]
2022-11-07T01:05:19.891334 500 : [{"timestamp":"2022-11-07T07:05:19.890+00:00","status":500,"error":"Internal Server Error","message":"PreparedStatementCallback; SQL [UPDATE account SET balance = ? WHERE user_id = ?]; No value specified for parameter 2.; nested exception is org.postgresql.util.PSQLException: No value specified for parameter 2.","path":"/account/1006"}]
2022-11-07T01:05:19.9034941 500 : [{"timestamp":"2022-11-07T07:05:19.901+00:00","status":500,"error":"Internal Server Error","message":"PreparedStatementCallback; SQL [UPDATE account SET balance = ? WHERE user_id = ?]; No value specified for parameter 2.; nested exception is org.postgresql.util.PSQLException: No value specified for parameter 2.","path":"/account/1001"}]
2022-11-07T01:05:19.9120779 500 : [{"timestamp":"2022-11-07T07:05:19.910+00:00","status":500,"error":"Internal Server Error","message":"PreparedStatementCallback; SQL [UPDATE account SET balance = ? WHERE user_id = ?]; No value specified for parameter 2.; nested exception is org.postgresql.util.PSQLException: No value specified for parameter 2.","path":"/account/1006"}]
2022-11-07T01:08:31.7843532 500 : [{"timestamp":"2022-11-07T07:08:31.771+00:00","status":500,"error":"Internal Server Error","message":"PreparedStatementCallback; SQL [UPDATE account SET balance = ? WHERE user_id = ?]; No value specified for parameter 2.; nested exception is org.postgresql.util.PSQLException: No value specified for parameter 2.","path":"/account/1002"}]
2022-11-07T01:08:31.800677 500 : [{"timestamp":"2022-11-07T07:08:31.798+00:00","status":500,"error":"Internal Server Error","message":"PreparedStatementCallback; SQL [UPDATE account SET balance = ? WHERE user_id = ?]; No value specified for parameter 2.; nested exception is org.postgresql.util.PSQLException: No value specified for parameter 2.","path":"/account/1006"}]
2022-11-07T01:08:31.8165387 500 : [{"timestamp":"2022-11-07T07:08:31.815+00:00","status":500,"error":"Internal Server Error","message":"PreparedStatementCallback; SQL [UPDATE account SET balance = ? WHERE user_id = ?]; No value specified for parameter 2.; nested exception is org.postgresql.util.PSQLException: No value specified for parameter 2.","path":"/account/1002"}]
2022-11-07T01:08:31.8268307 500 : [{"timestamp":"2022-11-07T07:08:31.825+00:00","status":500,"error":"Internal Server Error","message":"PreparedStatementCallback; SQL [UPDATE account SET balance = ? WHERE user_id = ?]; No value specified for parameter 2.; nested exception is org.postgresql.util.PSQLException: No value specified for parameter 2.","path":"/account/1006"}]
2022-11-07T01:08:45.3496775 500 : [{"timestamp":"2022-11-07T07:08:45.348+00:00","status":500,"error":"Internal Server Error","message":"PreparedStatementCallback; SQL [UPDATE account SET balance = ? WHERE user_id = ?]; No value specified for parameter 2.; nested exception is org.postgresql.util.PSQLException: No value specified for parameter 2.","path":"/account/1002"}]
2022-11-07T01:08:45.3625092 500 : [{"timestamp":"2022-11-07T07:08:45.361+00:00","status":500,"error":"Internal Server Error","message":"PreparedStatementCallback; SQL [UPDATE account SET balance = ? WHERE user_id = ?]; No value specified for parameter 2.; nested exception is org.postgresql.util.PSQLException: No value specified for parameter 2.","path":"/account/1006"}]
2022-11-07T01:08:45.3795325 500 : [{"timestamp":"2022-11-07T07:08:45.377+00:00","status":500,"error":"Internal Server Error","message":"PreparedStatementCallback; SQL [UPDATE account SET balance = ? WHERE user_id = ?]; No value specified for parameter 2.; nested exception is org.postgresql.util.PSQLException: No value specified for parameter 2.","path":"/account/1002"}]
2022-11-07T01:08:45.3903671 500 : [{"timestamp":"2022-11-07T07:08:45.388+00:00","status":500,"error":"Internal Server Error","message":"PreparedStatementCallback; SQL [UPDATE account SET balance = ? WHERE user_id = ?]; No value specified for parameter 2.; nested exception is org.postgresql.util.PSQLException: No value specified for parameter 2.","path":"/account/1006"}]
2022-11-07T01:16:16.007255 500 : [{"timestamp":"2022-11-07T07:16:15.989+00:00","status":500,"error":"Internal Server Error","message":"PreparedStatementCallback; SQL [UPDATE account SET balance = ? WHERE user_id = ?]; No value specified for parameter 2.; nested exception is org.postgresql.util.PSQLException: No value specified for parameter 2.","path":"/account/1001"}]
2022-11-07T01:16:16.017383 500 : [{"timestamp":"2022-11-07T07:16:16.017+00:00","status":500,"error":"Internal Server Error","message":"PreparedStatementCallback; SQL [UPDATE account SET balance = ? WHERE user_id = ?]; No value specified for parameter 2.; nested exception is org.postgresql.util.PSQLException: No value specified for parameter 2.","path":"/account/1004"}]
2022-11-07T01:16:16.0372618 500 : [{"timestamp":"2022-11-07T07:16:16.037+00:00","status":500,"error":"Internal Server Error","message":"PreparedStatementCallback; SQL [UPDATE account SET balance = ? WHERE user_id = ?]; No value specified for parameter 2.; nested exception is org.postgresql.util.PSQLException: No value specified for parameter 2.","path":"/account/1001"}]
